,video_id,comments,comments_no_stopwords
360,YISzm2tMzPI,"['You Left GE ?', 'Rossi raat ko 8.30 se 1 kar na stream', 'Bro you starts streams when we go to sleep, early possible ?']","[""['You"", 'Left', 'GE', ""?',"", ""'Rossi"", 'raat', 'ko', '8.30', 'se', '1', 'kar', 'na', ""stream',"", ""'Bro"", 'starts', 'streams', 'go', 'sleep,', 'early', 'possible', ""?']""]"
361,uWmkk2yTQmM,['♥️'],"[""['♥️']""]"
362,Uu4b64eqMK4,['Looking your stream again come live 2 times please ❤️'],"[""['Looking"", 'stream', 'come', 'live', '2', 'times', 'please', ""❤️']""]"
363,yfPh24txipI,"[""No hate fam I'm also from Bangalore but I really didn't like that you cheated in that tournament dude. Bought indian gaming a really bad name"", 'Mods  kya hua kl to evidence mannge jaa rhe the i know bro', 'Another forsalen spotted']","['[""No', 'hate', 'fam', ""I'm"", 'also', 'Bangalore', 'I', 'really', 'like', 'cheated', 'tournament', 'dude.', 'Bought', 'indian', 'gaming', 'really', 'bad', 'name"",', ""'Mods"", 'kya', 'hua', 'kl', 'evidence', 'mannge', 'jaa', 'rhe', 'know', ""bro',"", ""'Another"", 'forsalen', ""spotted']""]"
364,x2pb1tpD32M,"['The best stream till date .now I can die peacefully 😌', 'WaW', 'wtf he streamed for 30 secs lmao', 'What happened to the stream']","[""['The"", 'best', 'stream', 'till', 'date', '.now', 'I', 'die', 'peacefully', ""😌',"", ""'WaW',"", ""'wtf"", 'streamed', '30', 'secs', ""lmao',"", ""'What"", 'happened', ""stream']""]"
365,MfVv4d3x53k,['Bhai apke valorant  montage dikha bhai subscribe Kar diya bro aur montage dalo plz'],"[""['Bhai"", 'apke', 'valorant', 'montage', 'dikha', 'bhai', 'subscribe', 'Kar', 'diya', 'bro', 'aur', 'montage', 'dalo', ""plz']""]"
366,DmnnPo2sxQg,['So toxic lol'],"[""['So"", 'toxic', ""lol']""]"
367,cwtXvhErNus,['Good to hear kannada in streams😁😁'],"[""['Good"", 'hear', 'kannada', ""streams😁😁']""]"
368,R6Ifd-4zxQs,"['Timestamps-\n1:38:50 3k with OP\n2:20:12 4k with OP\n2:28:36 Shot\n3:45:45 4K with phantommm\n5:12:04 3k ( 1 God shot )\n5:24:30 jett diff..\n8:03:10 3k with vandal..', ""10:04:11 that's how you end a 10hour stream 🌝""]","[""['Timestamps-\\n1:38:50"", '3k', 'OP\\n2:20:12', '4k', 'OP\\n2:28:36', 'Shot\\n3:45:45', '4K', 'phantommm\\n5:12:04', '3k', '(', '1', 'God', 'shot', ')\\n5:24:30', 'jett', 'diff..\\n8:03:10', '3k', ""vandal..',"", '""10:04:11', ""that's"", 'end', '10hour', 'stream', '🌝""]']"
369,cavpVoAzjJc,"['me from future and you won tec', ""39:51 he knew omen's there even though he didn't see him. That's experience"", 'Gg']","[""['me"", 'future', ""tec',"", '""39:51', 'knew', ""omen's"", 'even', 'though', 'see', 'him.', ""That's"", 'experience"",', ""'Gg']""]"
370,NXnGLmPKXfI,"['Bro itna late stream ? I missed it 😭', 'Op']","[""['Bro"", 'itna', 'late', 'stream', '?', 'I', 'missed', ""😭',"", ""'Op']""]"
371,2lo-A9zPkC8,"['Finally Forsaken reached radiant!! Congo', ""India's best Jett 😌😌"", 'Congratulations for radiant I saw today only ❤️']","[""['Finally"", 'Forsaken', 'reached', 'radiant!!', ""Congo',"", '""India\'s', 'best', 'Jett', '😌😌"",', ""'Congratulations"", 'radiant', 'I', 'saw', 'today', ""❤️']""]"
372,hdIJ-ePTQS4,[],['[]']
373,SJEKt5y_kDk,[],['[]']
374,7b8DU2tDK3Y,['Title 😂'],"[""['Title"", ""😂']""]"
375,iWJAg7W3kOM,"['11:54:30 nxt patch bucky nerf', '♥️']","[""['11:54:30"", 'nxt', 'patch', 'bucky', ""nerf',"", ""'♥️']""]"
376,NhRu0e0BBLk,['This game is called cs go\nThanks me later'],"[""['This"", 'game', 'called', 'cs', 'go\\nThanks', ""later']""]"
377,BZCkxhvH_vE,"['TimeStamps-\n6:57 4k with ghost 😱😱\n10:20 Reflex\n22:50 4k with OP\n37:55 Collat.\n39:46 3k with OP\n44:00 hahahhhhhahahahaha\n\n10 man-\nteam mw1(mw1,skillz,strixx,blackhawk,ssami)\nteam skrossi(skrossi,vibhor,hellranger,ikill,rexy)\n  \nmatch 1 (Ascent) 1:25:30\nmatch 2(Split) 1:50:45\nmatch 3(Icebox) 2:25:20', 'Bhai QnA kar liya late night...!😬😒', ""I'm gonna share this vid with my momma""]","[""['TimeStamps-\\n6:57"", '4k', 'ghost', '😱😱\\n10:20', 'Reflex\\n22:50', '4k', 'OP\\n37:55', 'Collat.\\n39:46', '3k', 'OP\\n44:00', 'hahahhhhhahahahaha\\n\\n10', 'man-\\nteam', 'mw1(mw1,skillz,strixx,blackhawk,ssami)\\nteam', 'skrossi(skrossi,vibhor,hellranger,ikill,rexy)\\n', '\\nmatch', '1', '(Ascent)', '1:25:30\\nmatch', '2(Split)', '1:50:45\\nmatch', '3(Icebox)', ""2:25:20',"", ""'Bhai"", 'QnA', 'kar', 'liya', 'late', ""night...!😬😒',"", '""I\'m', 'gonna', 'share', 'vid', 'momma""]']"
378,yUSkPDJJmXY,"['1:34:00 vac', '47:54 insane double kill', '43:12 jett ult poggers 3k entry', 'Timestamp-\n2:21:45 4k(3k with op+1k with frenzy)\n2:24:32 4k with OP\n2:29:44 shot..\n2:34:30 3k with OP\n3:23:10 Almost ace\n4:46:55 pog... (3k with knife)\n6:00:00 4k with OP (almost ace)\n6:02:25 Nice round re ROSSI', 'IDHAR TO PEHLE SE HI TIME STAMP H ...BHADIA BHADIA']","[""['1:34:00"", ""vac',"", ""'47:54"", 'insane', 'double', ""kill',"", ""'43:12"", 'jett', 'ult', 'poggers', '3k', ""entry',"", ""'Timestamp-\\n2:21:45"", '4k(3k', 'op+1k', 'frenzy)\\n2:24:32', '4k', 'OP\\n2:29:44', 'shot..\\n2:34:30', '3k', 'OP\\n3:23:10', 'Almost', 'ace\\n4:46:55', 'pog...', '(3k', 'knife)\\n6:00:00', '4k', 'OP', '(almost', 'ace)\\n6:02:25', 'Nice', 'round', ""ROSSI',"", ""'IDHAR"", 'TO', 'PEHLE', 'SE', 'HI', 'TIME', 'STAMP', 'H', '...BHADIA', ""BHADIA']""]"
379,3XP3im3SZUg,[],['[]']
380,joOuA3qTbXQ,"['Timestamp-\n37:20 🤣🤣🤣(Montage material)funny streamer o wot?\n51:15 😱😱 1v3 with Bucky\n1:57:35 4k...in reyna ult\n2:34:15 chalte chalte headshot...\n2:48:50 I am the best sofa...\n2:50:45 4k with deagle😱😱\n3:02:06 Sofaa.......\n3:08:25 why u bully sohaaaa..\n3:25:59 3k with operator...', 'nice bucky']","[""['Timestamp-\\n37:20"", '🤣🤣🤣(Montage', 'material)funny', 'streamer', 'wot?\\n51:15', '😱😱', '1v3', 'Bucky\\n1:57:35', '4k...in', 'reyna', 'ult\\n2:34:15', 'chalte', 'chalte', 'headshot...\\n2:48:50', 'I', 'best', 'sofa...\\n2:50:45', '4k', 'deagle😱😱\\n3:02:06', 'Sofaa.......\\n3:08:25', 'u', 'bully', 'sohaaaa..\\n3:25:59', '3k', ""operator...',"", ""'nice"", ""bucky']""]"
381,_LfhjMs_eWE,"['33:20 shockdart from haven..😆😆\n1:05:40  OMG!!! 😱 😱 (6 KILLS) ACE+1', 'TImestap in Replies.']","[""['33:20"", 'shockdart', 'haven..😆😆\\n1:05:40', 'OMG!!!', '😱', '😱', '(6', 'KILLS)', ""ACE+1',"", ""'TImestap"", ""Replies.']""]"
382,d6V_ompfteE,"['10 Man -\nTeam Rossi (Rossi,SkillZ,Vibhor,Pashasahil,Juvenn)\nTeam Strixx(Strixx,HellRanger,mw1,blackhawk,GhosT)(Team 3ms😛)\n\n\nMatch 1(Haven)3:25:50\nMatch 2(Bind)4:26:00\nMatch 3(Split)5:07:00 \n\nShot 3:59:05 \nPeeche To Dekho 😆 4:59:15\nCSGO time 5:51:30', 'POST TIMESTAMPS HERE!! REPLY TO MY COMMENT']","[""['10"", 'Man', '-\\nTeam', 'Rossi', '(Rossi,SkillZ,Vibhor,Pashasahil,Juvenn)\\nTeam', 'Strixx(Strixx,HellRanger,mw1,blackhawk,GhosT)(Team', '3ms😛)\\n\\n\\nMatch', '1(Haven)3:25:50\\nMatch', '2(Bind)4:26:00\\nMatch', '3(Split)5:07:00', '\\n\\nShot', '3:59:05', '\\nPeeche', 'To', 'Dekho', '😆', '4:59:15\\nCSGO', 'time', ""5:51:30',"", ""'POST"", 'TIMESTAMPS', 'HERE!!', 'REPLY', 'TO', 'MY', ""COMMENT']""]"
383,Z10MNKqB0mY,"['TimeStamps -\n43:10 Maut ko chooke tak se waapas agya....\n1:49:24 1v3 Clutch botle\n2:39:15 3k with Operator\n3:31:29 Aate rhe chante khaate rhe 👏 (4K with operator)\n4:31:58 3k in Important Round\n4:34:00 CSGO time\n4:40:40 Genshin Impact Time (Variety streamer bolte )😎', 'POST TIMESTAMPS HERE!! REPLY TO MY COMMENT']","[""['TimeStamps"", '-\\n43:10', 'Maut', 'ko', 'chooke', 'tak', 'se', 'waapas', 'agya....\\n1:49:24', '1v3', 'Clutch', 'botle\\n2:39:15', '3k', 'Operator\\n3:31:29', 'Aate', 'rhe', 'chante', 'khaate', 'rhe', '👏', '(4K', 'operator)\\n4:31:58', '3k', 'Important', 'Round\\n4:34:00', 'CSGO', 'time\\n4:40:40', 'Genshin', 'Impact', 'Time', '(Variety', 'streamer', 'bolte', "")😎',"", ""'POST"", 'TIMESTAMPS', 'HERE!!', 'REPLY', 'TO', 'MY', ""COMMENT']""]"
384,zA8kR3QaI5I,['POST TIMESTAMPS HERE!! REPLY TO MY COMMENT'],"[""['POST"", 'TIMESTAMPS', 'HERE!!', 'REPLY', 'TO', 'MY', ""COMMENT']""]"
385,XsNGUVsYboo,"['POST TIMESTAMPS HERE!! REPLY TO MY COMMENT', 'wait for hikka, hydra']","[""['POST"", 'TIMESTAMPS', 'HERE!!', 'REPLY', 'TO', 'MY', ""COMMENT',"", ""'wait"", 'hikka,', ""hydra']""]"
386,NQQMYrNYREw,['POST TIMESTAMPS HERE!! REPLY TO MY COMMENT'],"[""['POST"", 'TIMESTAMPS', 'HERE!!', 'REPLY', 'TO', 'MY', ""COMMENT']""]"
387,ZHRJygks0eY,['POST TIMESTAMPS HERE!! REPLY TO MY COMMENT'],"[""['POST"", 'TIMESTAMPS', 'HERE!!', 'REPLY', 'TO', 'MY', ""COMMENT']""]"
388,da4uz_wChMM,['10:43 has the best 😍💋 💝💖❤️'],"[""['10:43"", 'best', '😍💋', ""💝💖❤️']""]"
389,d66WQ12tdg4,"['Watching your stream on 10Nov,2022 🙂 ❤️ because you are not streaming frequently so👀', 'Skroosi god or wot❤️']","[""['Watching"", 'stream', '10Nov,2022', '🙂', '❤️', 'streaming', 'frequently', ""so👀',"", ""'Skroosi"", 'god', ""wot❤️']""]"
